"PIID" "apple_id" "Name" "Acidity" "DeltaAcidity" "SSC" "Firmness" "Weight" "Juiciness" "PhenolicContent" "HarvestDate" "FloweringDate" "Softening" "AppleType"
590140 1063 "Reinette Thouin" 12.7596078712406 -18.5053325703106 11.7467306232319 8.9390336825079 138.702100182023 NA NA 274.279205774142 154.342496239572 -29.1422291830658 "France"
590128 733 "Golden Harvey" 13.48318165733 NA 16.3926451233072 9.76708914056811 80.1874946836441 12.1694736145358 4.47395216444993 274.760744008684 152.830519825807 NA "England"
264688 489 "Champagne Reinette" 11.1752842391438 -21.8203330399641 11.7258037952261 10.033208560926 160.599599224093 16.4780546184273 5.37407445424584 288.027967792458 154.085306621876 -40.51753271389 "France"
589309 1163 "William Crump" 12.7531340050851 -29.8117623759708 12.5114034680982 9.42848356415893 219.58206778832 NA NA 269.164719435614 153.926088664795 -36.4726403147633 "England"
161840 1030 "Lorna Doone" 8.45307329504766 -44.5172207042414 12.9552975142467 6.91879236356229 157.879438271137 10.9780546184273 NA 243.661927898116 158.837803174526 NA "England"
589597 983 "Pigeonnet" 13.2448668990821 -17.7477578067999 10.2447727446196 11.2182312082274 111.192500936148 13.8608926106443 3.72124744528432 288.583582074857 153.670646380107 -15.7175509712641 "France"
162549 543 "Boche" 10.6064524014938 -24.5761004982843 10.0707239574335 8.83940856092598 125.440723630747 5.93923947827527 6.36859006070187 274.960036517539 153.737428963335 -35.0974676590917 "France"
173979 196 "Domaine" 2.86075264423264 NA 14.8417738202017 10.7553590296655 86.2042798171855 NA NA 282.325168480482 153.902283798909 NA "France"
588808 366 "Bulmer Norman" 3.73049007269632 NA 12.0878735128027 8.43200178285403 172.73819447513 17.4463147372647 6.63197385279667 254.279203634086 153.73466085368 NA "France"
161760 521 "Doucet Rouge" 2.37987632889539 -13.2896119456001 11.6154034714326 8.08976766290248 134.191369760583 16.7463147372647 6.04430154800436 281.40308254621 154.221710446218 -37.2614862195062 "France"
131105 761 "Gros Frequin" 3.97840425143543 NA 14.1289890174876 10.741938346284 85.3789113090585 15.0409936536976 12.5773455075474 253.93853491223 154.128315647506 NA "France"
125566 1139 "Surpasse Frequin" 2.67201543922482 2.30479808878074 10.883451733386 9.31171580770732 125.255232913748 NA NA 267.82480313965 155.100792255559 -35.1633992630785 "France"
136489 1074 "Peau de Vache" NA NA 11.1982348276315 9.2802018165081 92.0147776242342 12.7463147372647 5.8895713274847 274.014840964848 154.272799548266 -45.4365314449023 "France"
137094 1050 "Notaire" 5.42621798139568 -14.0616905552221 9.68591984846984 9.60177646462811 163.828189485705 NA NA 260.930978535262 152.091551908669 -39.121682101913 "France"
125271 1165 "Tom Putt" 8.93835239328069 -23.2431247043076 11.8531500821908 8.62083717887831 198.728189044166 NA NA 246.729525920778 153.773432409422 -57.2941708141734 "England"
589143 919 "Rouge Belle de Boskoop" 11.9593078521824 -11.1470318237449 13.8481560402647 9.74616809283445 256.015539484922 NA NA 284.977662567862 152.289588283335 NA "France"
590135 1083 "Reinette d' Anjou" 14.8394668990821 -46.2716548092899 12.2970407126366 8.44685187473798 226.062883461833 NA NA 281.832599541858 153.780508708767 -36.2661962132846 "France"
NA 1216 "Ambrosia" 3.4318954598391 -38.6985989340528 10.693278611722 9.11699367131098 136.925607731 15.158567208879 2.51899494100917 276.859968157771 153.991886589426 -7.33933825960518 "Dessert"
588848 134 "Cortland" 8.79682628090468 -27.3397041626852 13.077109179466 7.80168209022603 243.785047443259 16.6694736145358 3.94863081790871 267.606533032754 153.13184763041 NA "Dessert"
588842 171 "Empire" 8.10130570039698 -44.0929626963952 11.3379233664795 8.79451912937376 145.230789992249 18.04277710777 1.53894552524343 275.094354701946 153.197659441481 -36.8106440130546 "Dessert"
588844 160 "Fuji" 4.22394888715722 -3.55943907404635 11.1307267478651 8.68677011894648 171.782119832759 NA NA 285.66132827842 151.89126212142 -14.4446106178145 "Dessert"
392303 205 "Gala" 5.49436275119431 -30.7362805782568 12.2150856539876 10.9513011629657 185.413092779042 12.4856725701306 3.06550981693392 253.755317679988 153.97675338119 -38.7396995099786 "Dessert"
590184 222 "Golden Delicious" NA NA 16.531082177238 8.69288356415893 225.023161337654 NA NA 274.760275502283 153.854447345188 NA "Dessert"
644174 1223 "Honeycrisp" 7.03451610928967 -25.8996650371399 11.7085348555153 8.22170165319875 207.510680680923 20.5354600027628 2.43217877981307 255.959356163931 153.863614070828 3.7498118978971 "Dessert"
588841 225 "Idared" 5.1933705316763 -29.0441539357954 10.6532129594081 8.78283753070255 164.241364832582 7.77805461842727 NA 278.087117662751 154.090825975547 -15.4396290032941 "Dessert"
588941 176 "Jonagold" 6.28413986179674 -26.647081360757 12.5212077197918 7.261939298474 203.981891475612 13.4839403018419 2.86952601632914 281.928801619345 152.854028665106 -37.2949867405683 "Dessert"
143180 888 "Lobo" 11.5900643958965 -42.191865626112 12.2429712697686 8.90520856092598 221.259656997501 13.9856725701306 3.94778517541323 253.528987633945 154.06935282757 -54.8354205015746 "Dessert"
NA 57 "McIntosh" 12.2948524014938 -29.3753213422472 11.0707239574335 8.03120856092598 181.488723630747 17.3392394782753 3.78667760411596 253.960036517539 151.737428963335 -50.7496291499128 "Dessert"
NA 48 "Red Delicious" 2.72235923387821 -3.03263554827031 9.93472572105312 8.27029109892402 220.549149267498 13.9500660444598 3.5909923388537 275.102630799449 153.081208471663 NA "Dessert"
588871 224 "Spartan" 8.45089397830981 -22.7797672441612 10.4581908715141 8.3840018165081 160.901853195967 21.3392394782753 2.26961360142914 267.312683695199 153.717947054131 -44.4855400177878 "Dessert"
588880 167 "Granny Smith" 12.3285491780682 -11.1996079840804 11.0030512787347 10.2197529930935 227.84893216336 16.9898259852565 5.45241541628585 281.69212956525 153.917959805566 -21.2759838184242 "Dessert"
589201 470 "Rome" 5.5128352180604 -35.5866834479888 10.4483299307157 9.9113109825536 222.098280787031 NA 5.73710092468916 278.487852768194 154.083189884386 -39.5095158394948 "Dessert"
